[15-Aug-2015 19:12:51 Asia/Calcutta] PHP Notice:  Undefined index: username in /home/saurabh/net/application/controllers/adminscontroller.php on line 64
[15-Aug-2015 19:12:51 Asia/Calcutta] PHP Notice:  Undefined index: password in /home/saurabh/net/application/controllers/adminscontroller.php on line 65
[15-Aug-2015 19:15:56 Asia/Calcutta] PHP Notice:  Undefined variable: title in /home/saurabh/net/application/views/admins/header.php on line 5
[15-Aug-2015 19:15:56 Asia/Calcutta] PHP Warning:  include_once(/home/saurabh/net/application/views/admins/dashboard.php): failed to open stream: No such file or directory in /home/saurabh/net/library/template.class.php on line 73
[15-Aug-2015 19:15:56 Asia/Calcutta] PHP Warning:  include_once(): Failed opening '/home/saurabh/net/application/views/admins/dashboard.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/saurabh/net/library/template.class.php on line 73
[15-Aug-2015 19:19:13 Asia/Calcutta] PHP Warning:  include_once(/home/saurabh/net/application/views/admins/dashboard.php): failed to open stream: No such file or directory in /home/saurabh/net/library/template.class.php on line 73
[15-Aug-2015 19:19:13 Asia/Calcutta] PHP Warning:  include_once(): Failed opening '/home/saurabh/net/application/views/admins/dashboard.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/saurabh/net/library/template.class.php on line 73
[15-Aug-2015 19:19:15 Asia/Calcutta] PHP Warning:  include_once(/home/saurabh/net/application/views/admins/dashboard.php): failed to open stream: No such file or directory in /home/saurabh/net/library/template.class.php on line 73
[15-Aug-2015 19:19:15 Asia/Calcutta] PHP Warning:  include_once(): Failed opening '/home/saurabh/net/application/views/admins/dashboard.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/saurabh/net/library/template.class.php on line 73
[15-Aug-2015 20:27:17 Asia/Calcutta] PHP Notice:  Undefined variable: title in /home/saurabh/net/application/views/admins/header.php on line 5
[15-Aug-2015 20:27:17 Asia/Calcutta] PHP Warning:  include_once(/home/saurabh/net/application/views/admins/removeslide.php): failed to open stream: No such file or directory in /home/saurabh/net/library/template.class.php on line 73
[15-Aug-2015 20:27:17 Asia/Calcutta] PHP Warning:  include_once(): Failed opening '/home/saurabh/net/application/views/admins/removeslide.php' for inclusion (include_path='.:/usr/share/php:/usr/share/pear') in /home/saurabh/net/library/template.class.php on line 73
[15-Aug-2015 21:44:47 Asia/Calcutta] PHP Strict Standards:  Only variables should be passed by reference in /home/saurabh/net/library/media.class.php on line 98
